Id,Abbrev,Release Date,Full Name,Company
"300030","SP","20190216","Preconstruidos Sabbat","White Wolf Entertainment AB"
"300031","25th","20190816","25º Aniversario","White Wolf Entertainment AB"
"300032","FB","20191001","Primera Sangre","White Wolf Entertainment AB"
"300033","V5","20201130","Quinta Edición","Paradox Interactive AB"
"300034","V5A","20211201","Quinta Edición (Anarquista)","Paradox Interactive AB"
